Foot_X,Foot_Y,Fell,Avg_Quat_W,Avg_Quat_X,Avg_Quat_Y,Avg_Quat_Z,Pitch_Diff_Deg,Tilt_Geodesic_Deg,Settle_Freq_Hz,Settle_Time_S
0.0,0.0,False,0.9938109440787611,-0.11074768049381836,0.0006235124352324111,-0.008623800018775307,0.0,0.0,0.8,0.0
-0.07,-0.02,False,0.9901056410526449,-0.13183816085586622,-0.0019877684003480564,-0.04801632716754366,-0.9125445642422609,5.1470196170713445,0.4,0.0
-0.07,-0.01625,False,0.9908530914543556,-0.12539010123253488,-0.0020522956307986798,-0.04983233639801326,-0.9106558591903335,5.032595642501968,0.2,0.0
-0.07,-0.0125,False,0.9908858801138807,-0.12474672417699637,-0.0019565443728136187,-0.05078975617351909,-0.9098034929931121,5.1111992184146615,0.2,0.0
-0.07,-0.00875,False,0.9985058975266765,-0.049745476133244,-0.0016531724566682677,-0.022552765452413834,-0.2792828135359887,7.196319672195584,0.4,0.0
-0.07,-0.005000000000000001,False,0.9985858706054166,-0.04773819925153493,-0.0016692895860058376,-0.023335312976707583,-0.28023557818554445,7.440656204870081,0.4,0.0
-0.07,-0.0012500000000000011,False,0.9992106690058234,-0.030869576116831512,-0.003428647606409279,-0.02476595628868161,-0.44176106051763153,9.3729920873496,0.4,0.0
-0.07,0.0024999999999999988,False,0.9993892411938958,-0.029328710399799153,-0.00363568630349975,-0.01864813978058327,-0.4406077507037186,9.437383358204572,0.4,0.0
-0.07,0.006249999999999999,False,0.9993779943445003,-0.029825469621410854,-0.0035581465367209627,-0.0184771581973392,-0.4322000629433874,9.378119311849014,1.2000000000000002,0.0
-0.07,0.01,False,0.9996204823928734,-0.01903281198996693,-0.003823893736396554,-0.01954535968168573,-0.44221827584323303,10.620959802925814,1.2000000000000002,0.0
-0.05812500000000001,-0.02,False,0.9900039253364812,-0.13262176809290765,-0.0019402475749194187,-0.047957584234589234,-0.9105489482465293,5.184603523303206,0.4,0.0
-0.05812500000000001,-0.01625,False,0.9909230640588234,-0.12482053137884269,-0.0020347269804075877,-0.049871594607468844,-0.9059858055582297,5.01478822414968,0.2,0.0
-0.05812500000000001,-0.0125,False,0.991093816643022,-0.12327247784049891,-0.0020271784297147934,-0.050327262657985476,-0.9027577304453697,5.009057130418614,0.2,0.0
-0.05812500000000001,-0.00875,False,0.9985831661587641,-0.049348734895770144,-0.0016825838626405027,-0.019837629396434506,-0.26628350789373156,7.179100611246119,0.4,0.0
-0.05812500000000001,-0.005000000000000001,False,0.9986280374557907,-0.04797477214538882,-0.0016509118446242563,-0.02092220196048414,-0.2655068976033004,7.356636601080573,0.4,0.0
-0.05812500000000001,-0.0012500000000000011,False,0.9985842771087724,-0.04737271499979328,-0.0015273741960359322,-0.024144036795117882,-0.2674086521491047,7.502208610707122,0.8,0.0
-0.05812500000000001,0.0024999999999999988,False,0.9986093379478979,-0.0478221556085564,-0.0014620431753377325,-0.022142583994770093,-0.25021231093347207,7.400878818048044,0.4,0.0
-0.05812500000000001,0.006249999999999999,False,0.9993274405946124,-0.030816175878782617,-0.003531200273411766,-0.019559151399239083,-0.43501227088669625,9.281142372311928,1.2000000000000002,0.0
